,collection_id,avg_accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
0,0373xrf1eaJoc8IcE6Gc_7_R,0.9488372093023256,215,2,77,52,84,heel strike,0.5,1.0,0.6666666666666666,2.0
1,0373xrf1eaJoc8IcE6Gc_7_R,0.9488372093023256,215,2,77,52,84,foot flat,0.9259259259259259,0.974025974025974,0.9493670886075949,77.0
2,0373xrf1eaJoc8IcE6Gc_7_R,0.9488372093023256,215,2,77,52,84,heel off,1.0,0.8269230769230769,0.9052631578947369,52.0
3,0373xrf1eaJoc8IcE6Gc_7_R,0.9488372093023256,215,2,77,52,84,toe off,0.9655172413793104,1.0,0.9824561403508771,84.0
4,04SwmTFshylAIDUNCYTh_12_R,0.7379912663755459,229,2,135,12,80,heel strike,0.5,1.0,0.6666666666666666,2.0
5,04SwmTFshylAIDUNCYTh_12_R,0.7379912663755459,229,2,135,12,80,foot flat,1.0,0.6370370370370371,0.7782805429864253,135.0
6,04SwmTFshylAIDUNCYTh_12_R,0.7379912663755459,229,2,135,12,80,heel off,0.020833333333333332,0.08333333333333333,0.03333333333333333,12.0
7,04SwmTFshylAIDUNCYTh_12_R,0.7379912663755459,229,2,135,12,80,toe off,0.8791208791208791,1.0,0.935672514619883,80.0
8,04SwmTFshylAIDUNCYTh_4_R,0.9649122807017544,228,2,84,48,94,heel strike,0.5,1.0,0.6666666666666666,2.0
9,04SwmTFshylAIDUNCYTh_4_R,0.9649122807017544,228,2,84,48,94,foot flat,0.9534883720930233,0.9761904761904762,0.9647058823529412,84.0
10,04SwmTFshylAIDUNCYTh_4_R,0.9649122807017544,228,2,84,48,94,heel off,0.9565217391304348,0.9166666666666666,0.9361702127659575,48.0
11,04SwmTFshylAIDUNCYTh_4_R,0.9649122807017544,228,2,84,48,94,toe off,1.0,0.9787234042553191,0.989247311827957,94.0
12,04SwmTFshylAIDUNCYTh_8_R,0.96,225,2,89,41,93,heel strike,0.5,0.5,0.5,2.0
13,04SwmTFshylAIDUNCYTh_8_R,0.96,225,2,89,41,93,foot flat,0.9565217391304348,0.9887640449438202,0.9723756906077348,89.0
14,04SwmTFshylAIDUNCYTh_8_R,0.96,225,2,89,41,93,heel off,0.9047619047619048,0.926829268292683,0.9156626506024096,41.0
15,04SwmTFshylAIDUNCYTh_8_R,0.96,225,2,89,41,93,toe off,1.0,0.956989247311828,0.978021978021978,93.0
16,0bYDrU653eQr2GwcMXXw_14_L,0.8592233009708737,206,3,97,10,96,heel strike,0.6,1.0,0.75,3.0
17,0bYDrU653eQr2GwcMXXw_14_L,0.8592233009708737,206,3,97,10,96,foot flat,1.0,0.8041237113402062,0.8914285714285715,97.0
18,0bYDrU653eQr2GwcMXXw_14_L,0.8592233009708737,206,3,97,10,96,heel off,0.2702702702702703,1.0,0.425531914893617,10.0
19,0bYDrU653eQr2GwcMXXw_14_L,0.8592233009708737,206,3,97,10,96,toe off,1.0,0.8958333333333334,0.945054945054945,96.0
20,0bYDrU653eQr2GwcMXXw_6_L,0.9227053140096618,207,13,60,45,89,heel strike,1.0,0.38461538461538464,0.5555555555555556,13.0
21,0bYDrU653eQr2GwcMXXw_6_L,0.9227053140096618,207,13,60,45,89,foot flat,0.8695652173913043,1.0,0.9302325581395349,60.0
22,0bYDrU653eQr2GwcMXXw_6_L,0.9227053140096618,207,13,60,45,89,heel off,0.8627450980392157,0.9777777777777777,0.9166666666666666,45.0
23,0bYDrU653eQr2GwcMXXw_6_L,0.9227053140096618,207,13,60,45,89,toe off,1.0,0.9213483146067416,0.9590643274853801,89.0
24,0bYDrU653eQr2GwcMXXw_7_R,0.9230769230769231,208,2,69,49,88,heel strike,0.5,1.0,0.6666666666666666,2.0
25,0bYDrU653eQr2GwcMXXw_7_R,0.9230769230769231,208,2,69,49,88,foot flat,0.881578947368421,0.9710144927536232,0.9241379310344827,69.0
26,0bYDrU653eQr2GwcMXXw_7_R,0.9230769230769231,208,2,69,49,88,heel off,0.8888888888888888,0.8163265306122449,0.851063829787234,49.0
27,0bYDrU653eQr2GwcMXXw_7_R,0.9230769230769231,208,2,69,49,88,toe off,1.0,0.9431818181818182,0.9707602339181286,88.0
28,0bYDrU653eQr2GwcMXXw_9_R,0.9264705882352942,204,2,65,53,84,heel strike,0.4,1.0,0.5714285714285714,2.0
29,0bYDrU653eQr2GwcMXXw_9_R,0.9264705882352942,204,2,65,53,84,foot flat,0.8732394366197183,0.9538461538461539,0.9117647058823529,65.0
30,0bYDrU653eQr2GwcMXXw_9_R,0.9264705882352942,204,2,65,53,84,heel off,0.9361702127659575,0.8301886792452831,0.88,53.0
31,0bYDrU653eQr2GwcMXXw_9_R,0.9264705882352942,204,2,65,53,84,toe off,1.0,0.9642857142857143,0.9818181818181818,84.0
32,1D7YXIfhop3uOfsgoHjV_12_L,0.8356164383561644,219,5,60,79,75,heel strike,1.0,0.8,0.8888888888888888,5.0
33,1D7YXIfhop3uOfsgoHjV_12_L,0.8356164383561644,219,5,60,79,75,foot flat,0.7792207792207793,1.0,0.8759124087591241,60.0
34,1D7YXIfhop3uOfsgoHjV_12_L,0.8356164383561644,219,5,60,79,75,heel off,1.0,0.5569620253164557,0.7154471544715447,79.0
35,1D7YXIfhop3uOfsgoHjV_12_L,0.8356164383561644,219,5,60,79,75,toe off,0.7978723404255319,1.0,0.8875739644970414,75.0
